Vp1 ,Vout (V),Vbias1 (V),Vbias2 (V),Vbias3 (V),I1.Mb6:d (A),I1.M5A:d (A),I1.M5B:d (A),I1.M2A:d (A),I1.M2B:d (A),I1.VTAIL (V),I1.VG5 (V),I1.VG4 (V),I1.VD1A (V),I1.VD1B (V),I0.Mb2:d (A),I0.Mb4:d (A),I0.Mb10:d (A),I0.VGb7 (V)
1.250,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.320,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.390,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.460,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.530,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.600,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.670,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.740,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.810,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.880,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
1.950,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.020,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.090,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.160,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.230,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.300,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.370,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.440,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.510,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.580,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.650,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.720,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.790,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.860,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
2.930,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
3.000,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
