Vbias30b:p (temp=-4.00e+01) X,Vbias30b:p (temp=-4.00e+01) Y,Vbias30b:p (temp=-3.50e+01) X,Vbias30b:p (temp=-3.50e+01) Y,Vbias30b:p (temp=-3.00e+01) X,Vbias30b:p (temp=-3.00e+01) Y,Vbias30b:p (temp=-2.50e+01) X,Vbias30b:p (temp=-2.50e+01) Y,Vbias30b:p (temp=-2.00e+01) X,Vbias30b:p (temp=-2.00e+01) Y,Vbias30b:p (temp=-1.50e+01) X,Vbias30b:p (temp=-1.50e+01) Y,Vbias30b:p (temp=-1.00e+01) X,Vbias30b:p (temp=-1.00e+01) Y,Vbias30b:p (temp=-5.00e+00) X,Vbias30b:p (temp=-5.00e+00) Y,Vbias30b:p (temp=0.00e+00) X,Vbias30b:p (temp=0.00e+00) Y,Vbias30b:p (temp=5.00e+00) X,Vbias30b:p (temp=5.00e+00) Y,Vbias30b:p (temp=1.00e+01) X,Vbias30b:p (temp=1.00e+01) Y,Vbias30b:p (temp=1.50e+01) X,Vbias30b:p (temp=1.50e+01) Y,Vbias30b:p (temp=2.00e+01) X,Vbias30b:p (temp=2.00e+01) Y,Vbias30b:p (temp=2.50e+01) X,Vbias30b:p (temp=2.50e+01) Y,Vbias30b:p (temp=3.00e+01) X,Vbias30b:p (temp=3.00e+01) Y,Vbias30b:p (temp=3.50e+01) X,Vbias30b:p (temp=3.50e+01) Y,Vbias30b:p (temp=4.00e+01) X,Vbias30b:p (temp=4.00e+01) Y,Vbias30b:p (temp=4.50e+01) X,Vbias30b:p (temp=4.50e+01) Y,Vbias30b:p (temp=5.00e+01) X,Vbias30b:p (temp=5.00e+01) Y,Vbias30b:p (temp=5.50e+01) X,Vbias30b:p (temp=5.50e+01) Y,Vbias30b:p (temp=6.00e+01) X,Vbias30b:p (temp=6.00e+01) Y,Vbias30b:p (temp=6.50e+01) X,Vbias30b:p (temp=6.50e+01) Y,Vbias30b:p (temp=7.00e+01) X,Vbias30b:p (temp=7.00e+01) Y,Vbias30b:p (temp=7.50e+01) X,Vbias30b:p (temp=7.50e+01) Y,Vbias30b:p (temp=8.00e+01) X,Vbias30b:p (temp=8.00e+01) Y,Vbias30b:p (temp=8.50e+01) X,Vbias30b:p (temp=8.50e+01) Y
0.9,-4.090099864038827e-05,0.9,-4.088514535825626e-05,0.9,-4.084628214272792e-05,0.9,-4.078751295493722e-05,0.9,-4.071141751834293e-05,0.9,-4.062017353887409e-05,0.9,-4.051564493416712e-05,0.9,-4.039944642258616e-05,0.9,-4.027299144057619e-05,0.9,-4.013752815916892e-05,0.9,-3.999416691335962e-05,0.9,-3.984390137470274e-05,0.9,-3.968762512351652e-05,0.9,-3.952614480889039e-05,0.9,-3.936019075563742e-05,0.9,-3.919042564373912e-05,0.9,-3.901745171855576e-05,0.9,-3.884181686946059e-05,0.9,-3.866401982697665e-05,0.9,-3.848451466465553e-05,0.9,-3.830371474512866e-05,0.9,-3.812199621535103e-05,0.9,-3.793970113068219e-05,0.9,-3.775714026866081e-05,0.9,-3.757459567940727e-05,0.9,-3.739232300923309e-05
0.9500000000000001,-4.335468767427499e-05,0.9500000000000001,-4.333609139936877e-05,0.9500000000000001,-4.329387546425978e-05,0.9500000000000001,-4.323121463986558e-05,0.9500000000000001,-4.315074759117518e-05,0.9500000000000001,-4.305470132548112e-05,0.9500000000000001,-4.294498131889556e-05,0.9500000000000001,-4.28232376763499e-05,0.9500000000000001,-4.269091432508543e-05,0.9500000000000001,-4.254928605305158e-05,0.9500000000000001,-4.239948674713824e-05,0.9500000000000001,-4.224253119959449e-05,0.9500000000000001,-4.207933217233046e-05,0.9500000000000001,-4.191071393561445e-05,0.9500000000000001,-4.173742316390367e-05,0.9500000000000001,-4.156013783372024e-05,0.9500000000000001,-4.137947459757315e-05,0.9500000000000001,-4.119599498420229e-05,0.9500000000000001,-4.101021068530156e-05,0.9500000000000001,-4.082258812290075e-05,0.9500000000000001,-4.063355244307438e-05,0.9500000000000001,-4.044349104583997e-05,0.9500000000000001,-4.025275673461023e-05,0.9500000000000001,-4.006167054890142e-05,0.9500000000000001,-3.987052432935823e-05,0.9500000000000001,-3.967958305326329e-05
1,-4.575452542522665e-05,1,-4.57332301458408e-05,1,-4.568779120889159e-05,1,-4.56214394750167e-05,1,-4.553686107119843e-05,1,-4.543632320030428e-05,1,-4.532176554812227e-05,1,-4.519486757174611e-05,1,-4.505709864936327e-05,1,-4.490975590804899e-05,1,-4.475399310097077e-05,1,-4.459084292287057e-05,1,-4.442123447436397e-05,1,-4.424600711094003e-05,1,-4.406592157652351e-05,1,-4.388166908120055e-05,1,-4.369387880940679e-05,1,-4.350312421901607e-05,1,-4.330992839973896e-05,1,-4.311476869164572e-05,1,-4.291808071476445e-05,1,-4.272026192375906e-05,1,-4.25216747742864e-05,1,-4.232264956720388e-05,1,-4.212348702157565e-05,1,-4.192446061603691e-05
1.05,-4.810450146556398e-05,1.05,-4.808056502750632e-05,1.05,-4.803203562464843e-05,1.05,-4.796218716318684e-05,1.05,-4.787374307857256e-05,1.05,-4.776900273644649e-05,1.05,-4.764993357046044e-05,1.05,-4.751823910334096e-05,1.05,-4.737540976627731e-05,1.05,-4.722276130726306e-05,1.05,-4.706146415440896e-05,1.05,-4.689256612810667e-05,1.05,-4.671701022232543e-05,1.05,-4.653564870228736e-05,1.05,-4.634925442972608e-05,1.05,-4.615853008577883e-05,1.05,-4.596411578706335e-05,1.05,-4.576659546327504e-05,1.05,-4.55665022713343e-05,1.05,-4.536432325235149e-05,1.05,-4.516050338675015e-05,1.05,-4.495544916509321e-05,1.05,-4.474953176396718e-05,1.05,-4.454308989525481e-05,1.05,-4.433643238138822e-05,1.05,-4.412984049737275e-05
1.1,-5.040834448506003e-05,1.1,-5.038183450316341e-05,1.1,-5.033034671041291e-05,1.1,-5.025718657424964e-05,1.1,-5.016510593132132e-05,1.1,-5.005642929639558e-05,1.1,-4.993314624050868e-05,1.1,-4.97969797900969e-05,1.1,-4.964943765808522e-05,1.1,-4.949185104433537e-05,1.1,-4.932540434684765e-05,1.1,-4.915115816887996e-05,1.1,-4.897006734212632e-05,1.1,-4.87829952174071e-05,1.1,-4.859072514017856e-05,1.1,-4.839396978757317e-05,1.1,-4.819337886895637e-05,1.1,-4.798954556418526e-05,1.1,-4.778301197972319e-05,1.1,-4.757427383320972e-05,1.1,-4.736378452543986e-05,1.1,-4.71519587202146e-05,1.1,-4.693917552377769e-05,1.1,-4.672578133400562e-05,1.1,-4.651209241336806e-05,1.1,-4.629839722753054e-05
1.15,-5.266940928602001e-05,1.15,-5.264040098856182e-05,1.15,-5.258608580382318e-05,1.15,-5.250979064777784e-05,1.15,-5.241428793532793e-05,1.15,-5.230192119399974e-05,1.15,-5.217469724704732e-05,1.15,-5.203435467426688e-05,1.15,-5.188241522369546e-05,1.15,-5.17202228346953e-05,1.15,-5.154897357240691e-05,1.15,-5.136973883792804e-05,1.15,-5.11834835654794e-05,1.15,-5.099108065583082e-05,1.15,-5.079332256473835e-05,1.15,-5.059093072630915e-05,1.15,-5.038456331718849e-05,1.15,-5.017482173974353e-05,1.15,-4.996225610813204e-05,1.15,-4.974736995118505e-05,1.15,-4.953062429391094e-05,1.15,-4.931244124047557e-05,1.15,-4.909320715231806e-05,1.15,-4.887327549312834e-05,1.15,-4.865296939592458e-05,1.15,-4.843258399502891e-05
1.2,-5.489072081411014e-05,1.2,-5.485929506894702e-05,1.2,-5.480228172536835e-05,1.2,-5.472302024184112e-05,1.2,-5.462429673366627e-05,1.2,-5.450846836201326e-05,1.2,-5.437755493730809e-05,1.2,-5.423330716060223e-05,1.2,-5.407725800949741e-05,1.2,-5.391076183190933e-05,1.2,-5.373502439161824e-05,1.2,-5.355112619862524e-05,1.2,-5.336004081898786e-05,1.2,-5.316264940557419e-05,1.2,-5.29597523657613e-05,1.2,-5.275207884611911e-05,1.2,-5.254029454159918e-05,1.2,-5.232500820968618e-05,1.2,-5.2106777175898e-05,1.2,-5.188611204693922e-05,1.2,-5.166348079550812e-05,1.2,-5.143931234147838e-05,1.2,-5.12139997247083e-05,1.2,-5.09879029424845e-05,1.2,-5.076135150786616e-05,1.2,-5.053464677253061e-05
1.25,-5.707501317177723e-05,1.25,-5.704125476085212e-05,1.25,-5.698167007967039e-05,1.25,-5.689960328573781e-05,1.25,-5.679784814231117e-05,1.25,-5.667877072066046e-05,1.25,-5.654440008545997e-05,1.25,-5.6396496067844e-05,1.25,-5.623660044185404e-05,1.25,-5.606607595294615e-05,1.25,-5.588613637392771e-05,1.25,-5.569786988083803e-05,1.25,-5.550225742010324e-05,1.25,-5.530018729560166e-05,1.25,-5.50924668852297e-05,1.25,-5.487983216438376e-05,1.25,-5.466295554343768e-05,1.25,-5.444245240044503e-05,1.25,-5.421888659677606e-05,1.25,-5.399277519356016e-05,1.25,-5.376459253445323e-05,1.25,-5.353477382089116e-05,1.25,-5.330371827630658e-05,1.25,-5.307179197335931e-05,1.25,-5.283933038129892e-05,1.25,-5.260664067771075e-05
1.3,-5.922476383552595e-05,1.3,-5.918875999016379e-05,1.3,-5.912672782078585e-05,1.3,-5.904200927736748e-05,1.3,-5.893740044117671e-05,1.3,-5.881527213932647e-05,1.3,-5.867765941609046e-05,1.3,-5.852632861821117e-05,1.3,-5.836282819883062e-05,1.3,-5.818852755944664e-05,1.3,-5.800464702596515e-05,1.3,-5.781228120292934e-05,1.3,-5.761241734806655e-05,1.3,-5.740594997860657e-05,1.3,-5.719369260924209e-05,1.3,-5.697638729408175e-05,1.3,-5.67547124773883e-05,1.3,-5.652928953371649e-05,1.3,-5.63006882854569e-05,1.3,-5.606943171643571e-05,1.3,-5.583600004804976e-05,1.3,-5.560083430509032e-05,1.3,-5.536433946864518e-05,1.3,-5.512688729095824e-05,1.3,-5.488881883001769e-05,1.3,-5.465044674868802e-05
1.35,-6.134222350078009e-05,1.35,-6.130406268375599e-05,1.35,-6.123970344675152e-05,1.35,-6.11524794528985e-05,1.35,-6.10451844054194e-05,1.35,-6.092019022888341e-05,1.35,-6.077953506864053e-05,1.35,-6.062498949566991e-05,1.35,-6.045810679376678e-05,1.35,-6.028026150697813e-05,1.35,-6.009267925498508e-05,1.35,-5.989646000532093e-05,1.35,-5.969259641029362e-05,1.35,-5.948198839905591e-05,1.35,-5.926545491211799e-05,1.35,-5.904374344338908e-05,1.35,-5.88175378906164e-05,1.35,-5.85874650929772e-05,1.35,-5.835410034319493e-05,1.35,-5.811797209289057e-05,1.35,-5.787956601809422e-05,1.35,-5.76393285726517e-05,1.35,-5.739767012755788e-05,1.35,-5.715496777167843e-05,1.35,-5.691156783216333e-05,1.35,-5.66677881597819e-05
1.4,-6.342944204777186e-05,1.4,-6.338921295667164e-05,1.4,-6.332264328884238e-05,1.4,-6.323305307285722e-05,1.4,-6.312322949528997e-05,1.4,-6.299554235301574e-05,1.4,-6.285203035756858e-05,1.4,-6.269446629102509e-05,1.4,-6.252440664928786e-05,1.4,-6.234322979913576e-05,1.4,-6.215216556078685e-05,1.4,-6.19523183439189e-05,1.4,-6.174468540639841e-05,1.4,-6.15301714018338e-05,1.4,-6.130960008814368e-05,1.4,-6.108372385303075e-05,1.4,-6.085323155186554e-05,1.4,-6.061875503373359e-05,1.4,-6.038087464154849e-05,1.4,-6.014012390436598e-05,1.4,-5.989699358877097e-05,1.4,-5.965193523731379e-05,1.4,-5.940536429237627e-05,1.4,-5.915766288132776e-05,1.4,-5.890918232164504e-05,1.4,-5.866024539155706e-05
1.45,-6.548829111859301e-05,1.45,-6.544608188141657e-05,1.45,-6.537741437422213e-05,1.45,-6.528559029134457e-05,1.45,-6.517338665548644e-05,1.45,-6.504316829032408e-05,1.45,-6.489697223781318e-05,1.45,-6.473657171849442e-05,1.45,-6.456352501918309e-05,1.45,-6.437921317475293e-05,1.45,-6.418486925355905e-05,1.45,-6.398160130869158e-05,1.45,-6.377041052197665e-05,1.45,-6.35522056796527e-05,1.45,-6.33278148346089e-05,1.45,-6.309799480019682e-05,1.45,-6.286343896443118e-05,1.45,-6.262478379636183e-05,1.45,-6.23826143282645e-05,1.45,-6.213746883064044e-05,1.45,-6.188984284640328e-05,1.45,-6.164019271212473e-05,1.45,-6.138893866483915e-05,1.45,-6.113646761046435e-05,1.45,-6.088313561275201e-05,1.45,-6.062927014855741e-05
1.5,-6.752048375916778e-05,1.5,-6.747638129359035e-05,1.5,-6.740572431304941e-05,1.5,-6.731179205290477e-05,1.5,-6.719734815888792e-05,1.5,-6.706474996961463e-05,1.5,-6.691603088296597e-05,1.5,-6.675296299398622e-05,1.5,-6.657710512927136e-05,1.5,-6.63898399785722e-05,1.5,-6.619240302586154e-05,1.5,-6.598590527235464e-05,1.5,-6.577135123289859e-05,1.5,-6.554965331505228e-05,1.5,-6.532164341651833e-05,1.5,-6.508808237357749e-05,1.5,-6.484966774150612e-05,1.5,-6.460704027388456e-05,1.5,-6.436078938152458e-05,1.5,-6.411145778631292e-05,1.5,-6.385954553546739e-05,1.5,-6.360551350366427e-05,1.5,-6.334978648141814e-05,1.5,-6.30927559258097e-05,1.5,-6.283478243258045e-05,1.5,-6.257619797551259e-05
1.55,-6.952759153100498e-05,1.55,-6.94816810410523e-05,1.55,-6.94091386166037e-05,1.55,-6.931321742019428e-05,1.55,-6.919666489187003e-05,1.55,-6.906182866734294e-05,1.55,-6.891073675486804e-05,1.55,-6.874515874172001e-05,1.55,-6.856665289024841e-05,1.55,-6.837660265338363e-05,1.55,-6.817624520061738e-05,1.55,-6.796669387392377e-05,1.55,-6.774895600699003e-05,1.55,-6.752394718537044e-05,1.55,-6.72925027623515e-05,1.55,-6.705538724954908e-05,1.55,-6.681330205433892e-05,1.55,-6.656689192539156e-05,1.55,-6.631675038347899e-05,1.55,-6.60634243507047e-05,1.55,-6.580741814238521e-05,1.55,-6.554919694836558e-05,1.55,-6.528918990180953e-05,1.55,-6.502779281144388e-05,1.55,-6.476537061625427e-05,1.55,-6.450225960860259e-05
1.6,-7.151105944646895e-05,1.6,-7.146342403344936e-05,1.6,-7.138909580388592e-05,1.6,-7.129129868828925e-05,1.6,-7.117276143335796e-05,1.6,-7.103582001385212e-05,1.6,-7.088249550408107e-05,1.6,-7.07145537600274e-05,1.6,-7.053355150345071e-05,1.6,-7.034087216358846e-05,1.6,-7.013775395313739e-05,1.6,-6.992531202244418e-05,1.6,-6.970455607504073e-05,1.6,-6.947640448870326e-05,1.6,-6.924169573456918e-05,1.6,-6.900119769854235e-05,1.6,-6.875561536736106e-05,1.6,-6.850559723422809e-05,1.6,-6.825174069708443e-05,1.6,-6.799459666007932e-05,1.6,-6.77346735008914e-05,1.6,-6.747244052972641e-05,1.6,-6.720833103751462e-05,1.6,-6.694274500900759e-05,1.6,-6.667605155965587e-05,1.6,-6.640859114219679e-05
