in00 (subrange from 0 to 2e-06) X,in00 (subrange from 0 to 2e-06) Y,in01 (subrange from 0 to 2e-06) X,in01 (subrange from 0 to 2e-06) Y,in10 (subrange from 0 to 2e-06) X,in10 (subrange from 0 to 2e-06) Y,in11 (subrange from 0 to 2e-06) X,in11 (subrange from 0 to 2e-06) Y,s1 (subrange from 0 to 2e-06) X,s1 (subrange from 0 to 2e-06) Y,s0 (subrange from 0 to 2e-06) X,s0 (subrange from 0 to 2e-06) Y,out (subrange from 0 to 2e-06) X,out (subrange from 0 to 2e-06) Y
1.052950577469618e-07,0,1.052950577469618e-07,0.33,1.052950577469618e-07,1,1.052950577469618e-07,0.66,1.052950577469618e-07,1,1.052950577469618e-07,0,1.052950577469618e-07,0.9999998841718918
1.36471919194641e-07,0,1.36471919194641e-07,0.33,1.36471919194641e-07,1,1.36471919194641e-07,0.66,1.36471919194641e-07,1,1.36471919194641e-07,0,1.36471919194641e-07,0.999999398181609
1.761103738281453e-07,0,1.761103738281453e-07,0.33,1.761103738281453e-07,1,1.761103738281453e-07,0.66,1.761103738281453e-07,1,1.761103738281453e-07,0,1.761103738281453e-07,0.9999999260722188
2.161103738281453e-07,0,2.161103738281453e-07,0.33,2.161103738281453e-07,1,2.161103738281453e-07,0.66,2.161103738281453e-07,1,2.161103738281453e-07,0,2.161103738281453e-07,0.9999993731282961
2.5e-07,0,2.5e-07,0.33,2.5e-07,1,2.5e-07,0.66,2.5e-07,1,2.5e-07,0,2.5e-07,0.9999999451006708
2.5000625e-07,0,2.5000625e-07,0.33,2.5000625e-07,1,2.5000625e-07,0.66,2.5000625e-07,1,2.5000625e-07,0.06250000000013704,2.5000625e-07,1.000002525089397
2.500171377875652e-07,0,2.500171377875652e-07,0.33,2.500171377875652e-07,1,2.500171377875652e-07,0.66,2.500171377875652e-07,1,2.500171377875652e-07,0.1713778756521256,2.500171377875652e-07,1.000007073315742
2.500225816813478e-07,0,2.500225816813478e-07,0.33,2.500225816813478e-07,1,2.500225816813478e-07,0.66,2.500225816813478e-07,1,2.500225816813478e-07,0.2258168134781199,2.500225816813478e-07,1.000009040849441
2.500280987050907e-07,0,2.500280987050907e-07,0.33,2.500280987050907e-07,1,2.500280987050907e-07,0.66,2.500280987050907e-07,1,2.500280987050907e-07,0.2809870509067663,2.500280987050907e-07,1.000010639266934
2.500349662137547e-07,0,2.500349662137547e-07,0.33,2.500349662137547e-07,1,2.500349662137547e-07,0.66,2.500349662137547e-07,1,2.500349662137547e-07,0.3496621375474217,2.500349662137547e-07,1.000011711038414
2.50040354701678e-07,0,2.50040354701678e-07,0.33,2.50040354701678e-07,1,2.50040354701678e-07,0.66,2.50040354701678e-07,1,2.50040354701678e-07,0.4035470167802316,2.50040354701678e-07,1.00001114141794
2.500437370730019e-07,0,2.500437370730019e-07,0.33,2.500437370730019e-07,1,2.500437370730019e-07,0.66,2.500437370730019e-07,1,2.500437370730019e-07,0.4373707300190097,2.500437370730019e-07,1.000009238146326
2.500475380242447e-07,0,2.500475380242447e-07,0.33,2.500475380242447e-07,1,2.500475380242447e-07,0.66,2.500475380242447e-07,1,2.500475380242447e-07,0.4753802424469664,2.500475380242447e-07,1.000004633857432
2.50050936826176e-07,0,2.50050936826176e-07,0.33,2.50050936826176e-07,1,2.50050936826176e-07,0.66,2.50050936826176e-07,1,2.50050936826176e-07,0.5093682617598949,2.50050936826176e-07,0.9999985035878461
2.500543009268234e-07,0,2.500543009268234e-07,0.33,2.500543009268234e-07,1,2.500543009268234e-07,0.66,2.500543009268234e-07,1,2.500543009268234e-07,0.5430092682338276,2.500543009268234e-07,0.9999910716731358
2.500584274313957e-07,0,2.500584274313957e-07,0.33,2.500584274313957e-07,1,2.500584274313957e-07,0.66,2.500584274313957e-07,1,2.500584274313957e-07,0.5842743139575944,2.500584274313957e-07,0.9999816940166938
2.500623110162374e-07,0,2.500623110162374e-07,0.33,2.500623110162374e-07,1,2.500623110162374e-07,0.66,2.500623110162374e-07,1,2.500623110162374e-07,0.6231101623739068,2.500623110162374e-07,0.9999757889977507
2.500694684918378e-07,0,2.500694684918378e-07,0.33,2.500694684918378e-07,1,2.500694684918378e-07,0.66,2.500694684918378e-07,1,2.500694684918378e-07,0.6946849183778301,2.500694684918378e-07,0.9999871667056394
2.500761210264684e-07,0,2.500761210264684e-07,0.33,2.500761210264684e-07,1,2.500761210264684e-07,0.66,2.500761210264684e-07,1,2.500761210264684e-07,0.7612102646839888,2.500761210264684e-07,1.000039805263756
2.500821076014897e-07,0,2.500821076014897e-07,0.33,2.500821076014897e-07,1,2.500821076014897e-07,0.66,2.500821076014897e-07,1,2.500821076014897e-07,0.8210760148969427,2.500821076014897e-07,1.000139277021011
2.500846308748261e-07,0,2.500846308748261e-07,0.33,2.500846308748261e-07,1,2.500846308748261e-07,0.66,2.500846308748261e-07,1,2.500846308748261e-07,0.8463087482610825,2.500846308748261e-07,1.0001982513336
2.50087832936725e-07,0,2.50087832936725e-07,0.33,2.50087832936725e-07,1,2.50087832936725e-07,0.66,2.50087832936725e-07,1,2.50087832936725e-07,0.8783293672496816,2.50087832936725e-07,1.000283606105829
2.500908902399207e-07,0,2.500908902399207e-07,0.33,2.500908902399207e-07,1,2.500908902399207e-07,0.66,2.500908902399207e-07,1,2.500908902399207e-07,0.9089023992075415,2.500908902399207e-07,1.000370473248062
2.500940505781863e-07,0,2.500940505781863e-07,0.33,2.500940505781863e-07,1,2.500940505781863e-07,0.66,2.500940505781863e-07,1,2.500940505781863e-07,0.9405057818630125,2.500940505781863e-07,1.000461337599486
2.500972743226024e-07,0,2.500972743226024e-07,0.33,2.500972743226024e-07,1,2.500972743226024e-07,0.66,2.500972743226024e-07,1,2.500972743226024e-07,0.9727432260241632,2.500972743226024e-07,1.000553511053314
2.501e-07,0,2.501e-07,0.33,2.501e-07,1,2.501e-07,0.66,2.501e-07,1,2.501e-07,1,2.501e-07,1.00063062312928
2.501019646187307e-07,0,2.501019646187307e-07,0.33,2.501019646187307e-07,1,2.501019646187307e-07,0.66,2.501019646187307e-07,1,2.501019646187307e-07,1,2.501019646187307e-07,1.00068524060876
2.501042707603118e-07,0,2.501042707603118e-07,0.33,2.501042707603118e-07,1,2.501042707603118e-07,0.66,2.501042707603118e-07,1,2.501042707603118e-07,1,2.501042707603118e-07,1.000749449737353
2.50106484088316e-07,0,2.50106484088316e-07,0.33,2.50106484088316e-07,1,2.50106484088316e-07,0.66,2.50106484088316e-07,1,2.50106484088316e-07,1,2.50106484088316e-07,1.000811163746204
2.501109107443245e-07,0,2.501109107443245e-07,0.33,2.501109107443245e-07,1,2.501109107443245e-07,0.66,2.501109107443245e-07,1,2.501109107443245e-07,1,2.501109107443245e-07,1.000934506309537
2.501172970455746e-07,0,2.501172970455746e-07,0.33,2.501172970455746e-07,1,2.501172970455746e-07,0.66,2.501172970455746e-07,1,2.501172970455746e-07,1,2.501172970455746e-07,1.00111194228822
2.501254600547424e-07,0,2.501254600547424e-07,0.33,2.501254600547424e-07,1,2.501254600547424e-07,0.66,2.501254600547424e-07,1,2.501254600547424e-07,1,2.501254600547424e-07,1.001337776606369
2.501405572371909e-07,0,2.501405572371909e-07,0.33,2.501405572371909e-07,1,2.501405572371909e-07,0.66,2.501405572371909e-07,1,2.501405572371909e-07,1,2.501405572371909e-07,1.001752339437365
2.501610277663301e-07,0,2.501610277663301e-07,0.33,2.501610277663301e-07,1,2.501610277663301e-07,0.66,2.501610277663301e-07,1,2.501610277663301e-07,1,2.501610277663301e-07,1.002306404699165
2.501871821685445e-07,0,2.501871821685445e-07,0.33,2.501871821685445e-07,1,2.501871821685445e-07,0.66,2.501871821685445e-07,1,2.501871821685445e-07,1,2.501871821685445e-07,1.002998916683821
2.502194647546285e-07,0,2.502194647546285e-07,0.33,2.502194647546285e-07,1,2.502194647546285e-07,0.66,2.502194647546285e-07,1,2.502194647546285e-07,1,2.502194647546285e-07,1.00383530214283
2.502526356213759e-07,0,2.502526356213759e-07,0.33,2.502526356213759e-07,1,2.502526356213759e-07,0.66,2.502526356213759e-07,1,2.502526356213759e-07,1,2.502526356213759e-07,1.004685537758274
2.502827065863366e-07,0,2.502827065863366e-07,0.33,2.502827065863366e-07,1,2.502827065863366e-07,0.66,2.502827065863366e-07,1,2.502827065863366e-07,1,2.502827065863366e-07,1.005432965586011
2.503147190998012e-07,0,2.503147190998012e-07,0.33,2.503147190998012e-07,1,2.503147190998012e-07,0.66,2.503147190998012e-07,1,2.503147190998012e-07,1,2.503147190998012e-07,1.006054476720511
2.503476566114461e-07,0,2.503476566114461e-07,0.33,2.503476566114461e-07,1,2.503476566114461e-07,0.66,2.503476566114461e-07,1,2.503476566114461e-07,1,2.503476566114461e-07,1.006361679678274
2.503806796531168e-07,0,2.503806796531168e-07,0.33,2.503806796531168e-07,1,2.503806796531168e-07,0.66,2.503806796531168e-07,1,2.503806796531168e-07,1,2.503806796531168e-07,1.006479270255085
2.504195233201592e-07,0,2.504195233201592e-07,0.33,2.504195233201592e-07,1,2.504195233201592e-07,0.66,2.504195233201592e-07,1,2.504195233201592e-07,1,2.504195233201592e-07,1.006492981552892
2.504644379528567e-07,0,2.504644379528567e-07,0.33,2.504644379528567e-07,1,2.504644379528567e-07,0.66,2.504644379528567e-07,1,2.504644379528567e-07,1,2.504644379528567e-07,1.006373152859295
2.50530116611692e-07,0,2.50530116611692e-07,0.33,2.50530116611692e-07,1,2.50530116611692e-07,0.66,2.50530116611692e-07,1,2.50530116611692e-07,1,2.50530116611692e-07,1.00593124909821
2.506238414640045e-07,0,2.506238414640045e-07,0.33,2.506238414640045e-07,1,2.506238414640045e-07,0.66,2.506238414640045e-07,1,2.506238414640045e-07,1,2.506238414640045e-07,1.004721929105129
2.50774592568618e-07,0,2.50774592568618e-07,0.33,2.50774592568618e-07,1,2.50774592568618e-07,0.66,2.50774592568618e-07,1,2.50774592568618e-07,1,2.50774592568618e-07,1.001397527376645
2.508758682330942e-07,0,2.508758682330942e-07,0.33,2.508758682330942e-07,1,2.508758682330942e-07,0.66,2.508758682330942e-07,1,2.508758682330942e-07,1,2.508758682330942e-07,0.9981814366483206
