time (s),in (V),out (V),phi1 (V),phi2 (V),I1.nphi22 (V),I1.nphi21 (V),I1.nphi20 (V),I1.phi22 (V),I1.phi21 (V),I1.phi20 (V),I1.nphi1 (V),I1.a2 (V),I1.a1 (V),I1.a0 (V),I1.a (V),I1.bb (V)
1.969E-6,100.0E-3,-163.5E-6,312.2E-3,0.000,1.250,1.250,1.250,845.2E-9,846.3E-9,848.3E-9,856.0E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,213.2E-6
1.969E-6,100.0E-3,-163.6E-6,310.4E-3,0.000,1.250,1.250,1.250,845.3E-9,846.4E-9,848.3E-9,860.7E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,213.0E-6
1.969E-6,100.0E-3,-163.7E-6,309.1E-3,0.000,1.250,1.250,1.250,845.4E-9,846.4E-9,848.3E-9,864.1E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.9E-6
1.969E-6,100.0E-3,-163.8E-6,307.9E-3,0.000,1.250,1.250,1.250,845.4E-9,846.5E-9,848.4E-9,867.4E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.8E-6
1.969E-6,100.0E-3,-163.9E-6,306.4E-3,0.000,1.250,1.250,1.250,845.5E-9,846.6E-9,848.4E-9,871.2E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.7E-6
1.970E-6,100.0E-3,-163.9E-6,304.6E-3,0.000,1.250,1.250,1.250,845.7E-9,846.7E-9,848.5E-9,875.7E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.5E-6
1.970E-6,100.0E-3,-164.0E-6,302.6E-3,0.000,1.250,1.250,1.250,845.8E-9,846.8E-9,848.5E-9,880.9E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.3E-6
1.970E-6,100.0E-3,-164.1E-6,300.2E-3,0.000,1.250,1.250,1.250,846.0E-9,847.0E-9,848.6E-9,886.9E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.2E-6
1.970E-6,100.0E-3,-164.1E-6,297.3E-3,0.000,1.250,1.250,1.250,846.2E-9,847.2E-9,848.8E-9,894.1E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,212.0E-6
1.971E-6,100.0E-3,-164.1E-6,293.8E-3,0.000,1.250,1.250,1.250,846.5E-9,847.4E-9,849.0E-9,902.5E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,211.8E-6
1.971E-6,100.0E-3,-164.2E-6,289.6E-3,0.000,1.250,1.250,1.250,846.9E-9,847.7E-9,849.2E-9,912.6E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,211.5E-6
1.972E-6,100.0E-3,-164.1E-6,284.5E-3,0.000,1.250,1.250,1.250,847.3E-9,848.1E-9,849.4E-9,924.5E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,211.3E-6
1.972E-6,100.0E-3,-164.0E-6,278.2E-3,0.000,1.250,1.250,1.250,847.8E-9,848.5E-9,849.7E-9,938.7E-3,99.75E-3,99.83E-3,99.89E-3,99.89E-3,211.0E-6
1.973E-6,100.0E-3,-163.8E-6,270.4E-3,0.000,1.250,1.250,1.250,848.4E-9,849.0E-9,850.0E-9,955.5E-3,99.74E-3,99.83E-3,99.89E-3,99.89E-3,210.8E-6
1.974E-6,100.0E-3,-163.5E-6,260.6E-3,0.000,1.250,1.250,1.250,849.0E-9,849.5E-9,850.3E-9,975.6E-3,99.74E-3,99.83E-3,99.89E-3,99.89E-3,210.4E-6
1.975E-6,100.0E-3,-162.9E-6,248.1E-3,0.000,1.250,1.250,1.250,849.6E-9,849.9E-9,850.6E-9,999.6E-3,99.74E-3,99.83E-3,99.88E-3,99.88E-3,210.1E-6
1.977E-6,100.0E-3,-162.0E-6,231.7E-3,0.000,1.250,1.250,1.250,850.1E-9,850.3E-9,850.7E-9,1.029,99.74E-3,99.83E-3,99.88E-3,99.88E-3,209.6E-6
1.979E-6,100.0E-3,-160.5E-6,209.7E-3,0.000,1.250,1.250,1.250,850.4E-9,850.5E-9,850.6E-9,1.063,99.74E-3,99.83E-3,99.88E-3,99.88E-3,209.0E-6
1.981E-6,100.0E-3,-159.2E-6,191.8E-3,0.000,1.250,1.250,1.250,850.4E-9,850.4E-9,850.3E-9,1.088,99.74E-3,99.83E-3,99.88E-3,99.88E-3,208.3E-6
1.984E-6,100.0E-3,-156.6E-6,159.3E-3,0.000,1.250,1.250,1.250,849.9E-9,849.7E-9,849.3E-9,1.127,99.74E-3,99.82E-3,99.88E-3,99.88E-3,206.7E-6
1.987E-6,100.0E-3,-154.0E-6,127.3E-3,0.000,1.250,1.250,1.250,849.1E-9,848.8E-9,848.1E-9,1.158,99.74E-3,99.82E-3,99.88E-3,99.88E-3,204.6E-6
1.990E-6,100.0E-3,-151.2E-6,95.38E-3,0.000,1.250,1.250,1.250,848.2E-9,847.7E-9,846.9E-9,1.181,99.74E-3,99.82E-3,99.87E-3,99.87E-3,202.0E-6
1.995E-6,100.0E-3,-147.3E-6,51.22E-3,0.000,1.250,1.250,1.250,847.0E-9,846.5E-9,845.4E-9,1.205,99.73E-3,99.81E-3,99.87E-3,99.87E-3,197.8E-6
1.997E-6,100.0E-3,-145.0E-6,25.61E-3,0.000,1.250,1.250,1.250,846.5E-9,845.9E-9,844.7E-9,1.215,99.73E-3,99.81E-3,99.86E-3,99.86E-3,195.1E-6
2.000E-6,100.0E-3,-142.7E-6,1.110E-15,0.000,1.250,1.250,1.250,846.1E-9,845.5E-9,844.2E-9,1.223,99.72E-3,99.81E-3,99.86E-3,99.86E-3,192.3E-6
