Vbat ,VDDA (temp=-4.00e+01) (V),VDDA (temp=2.50e+01) (V),VDDA (temp=8.50e+01) (V)
900.0E-3,852.0E-3,840.9E-3,811.0E-3
950.0E-3,901.5E-3,891.0E-3,865.3E-3
1.000,951.2E-3,940.5E-3,917.9E-3
1.050,1.001,989.7E-3,969.3E-3
1.100,1.051,1.039,1.020
1.150,1.102,1.088,1.069
1.200,1.154,1.137,1.118
1.250,1.192,1.179,1.166
1.300,1.200,1.203,1.199
1.350,1.200,1.211,1.218
1.400,1.200,1.212,1.224
1.450,1.200,1.213,1.225
1.500,1.200,1.213,1.226
1.550,1.200,1.213,1.226
1.600,1.200,1.213,1.226
1.650,1.200,1.213,1.226
1.700,1.200,1.213,1.226
1.750,1.200,1.213,1.226
1.800,1.200,1.213,1.227
1.850,1.200,1.213,1.227
1.900,1.200,1.213,1.227
1.950,1.200,1.213,1.227
2.000,1.201,1.213,1.227
2.050,1.201,1.213,1.227
2.100,1.201,1.213,1.227
2.150,1.201,1.213,1.227
2.200,1.201,1.213,1.227
2.250,1.201,1.213,1.227
2.300,1.201,1.213,1.227
2.350,1.201,1.213,1.227
2.400,1.201,1.213,1.227
2.450,1.201,1.213,1.227
2.500,1.201,1.213,1.227
2.550,1.201,1.213,1.227
2.600,1.201,1.213,1.227
2.650,1.201,1.213,1.227
2.700,1.201,1.213,1.227
2.750,1.201,1.213,1.227
2.800,1.201,1.213,1.227
2.850,1.201,1.213,1.227
2.900,1.201,1.213,1.227
2.950,1.201,1.214,1.227
3.000,1.201,1.214,1.227
3.050,1.202,1.215,1.228
3.100,1.203,1.217,1.228
3.150,1.204,1.220,1.226
3.200,1.207,1.230,1.231
