Vbat ,Vptat (temp=-4.00e+01) (V),Vptat (temp=2.70e+01) (V),Vptat (temp=8.50e+01) (V),Vref (temp=-4.00e+01) (V),Vref (temp=2.70e+01) (V),Vref (temp=8.50e+01) (V)
1.600,288.1E-6,969.8E-6,2.038E-3,1.135,1.127,1.121
1.650,288.5E-6,970.1E-6,2.039E-3,1.135,1.127,1.121
1.700,292.6E-6,973.9E-6,2.042E-3,1.135,1.127,1.121
1.750,317.3E-6,997.1E-6,2.063E-3,1.135,1.127,1.121
1.800,448.1E-6,1.105E-3,2.159E-3,1.135,1.127,1.121
1.850,1.060E-3,1.571E-3,2.541E-3,1.135,1.127,1.121
1.900,3.051E-3,3.313E-3,3.934E-3,1.135,1.127,1.121
1.950,7.765E-3,7.957E-3,8.107E-3,1.135,1.127,1.121
2.000,16.74E-3,17.04E-3,16.92E-3,1.135,1.127,1.121
2.050,30.96E-3,31.49E-3,31.25E-3,1.135,1.127,1.121
2.100,50.46E-3,51.25E-3,51.01E-3,1.135,1.127,1.121
2.150,74.59E-3,75.66E-3,75.46E-3,1.135,1.127,1.121
2.200,102.5E-3,103.8E-3,103.7E-3,1.135,1.127,1.121
2.250,133.4E-3,135.0E-3,135.0E-3,1.135,1.127,1.121
2.300,166.8E-3,168.6E-3,168.6E-3,1.135,1.127,1.121
2.350,202.0E-3,204.0E-3,204.1E-3,1.135,1.127,1.121
2.400,238.8E-3,241.0E-3,241.2E-3,1.135,1.127,1.121
2.450,276.9E-3,279.2E-3,279.5E-3,1.135,1.127,1.121
2.500,316.0E-3,318.4E-3,318.8E-3,1.136,1.127,1.122
2.550,356.0E-3,358.6E-3,359.0E-3,1.136,1.127,1.122
2.600,396.7E-3,399.4E-3,400.0E-3,1.136,1.128,1.123
2.650,438.1E-3,440.9E-3,441.5E-3,1.136,1.129,1.124
2.700,480.1E-3,482.9E-3,483.5E-3,1.137,1.130,1.127
2.750,522.5E-3,525.4E-3,525.8E-3,1.138,1.132,1.130
2.800,565.3E-3,568.2E-3,568.4E-3,1.139,1.135,1.137
2.850,608.5E-3,611.2E-3,610.9E-3,1.141,1.140,1.147
2.900,652.0E-3,654.3E-3,653.3E-3,1.145,1.148,1.163
2.950,695.8E-3,697.4E-3,695.1E-3,1.149,1.160,1.188
3.000,739.8E-3,740.2E-3,734.3E-3,1.157,1.178,1.244
3.050,783.9E-3,782.3E-3,752.1E-3,1.169,1.206,1.607
3.100,828.0E-3,823.2E-3,765.4E-3,1.187,1.249,2.253
3.150,871.3E-3,857.4E-3,777.6E-3,1.215,1.372,3.025
3.200,913.0E-3,875.8E-3,789.0E-3,1.254,1.807,3.132
