Vbat ,Vptat (temp=-4.00e+01) (V),Vptat (temp=2.70e+01) (V),Vptat (temp=8.50e+01) (V),Vref (temp=-4.00e+01) (V),Vref (temp=2.70e+01) (V),Vref (temp=8.50e+01) (V)
1.600,641.7E-3,853.5E-3,1.067,1.135,1.127,1.121
1.650,640.9E-3,851.1E-3,1.055,1.135,1.127,1.121
1.700,640.3E-3,849.6E-3,1.046,1.135,1.127,1.121
1.750,639.7E-3,848.5E-3,1.041,1.135,1.127,1.121
1.800,639.2E-3,847.6E-3,1.039,1.135,1.127,1.121
1.850,638.7E-3,846.9E-3,1.037,1.135,1.127,1.121
1.900,638.3E-3,846.2E-3,1.036,1.135,1.127,1.121
1.950,637.8E-3,845.6E-3,1.035,1.135,1.127,1.121
2.000,637.4E-3,845.0E-3,1.034,1.135,1.127,1.121
2.050,637.1E-3,844.4E-3,1.034,1.135,1.127,1.121
2.100,636.7E-3,843.9E-3,1.033,1.135,1.127,1.121
2.150,636.4E-3,843.4E-3,1.032,1.135,1.127,1.121
2.200,636.0E-3,842.9E-3,1.032,1.135,1.127,1.121
2.250,635.8E-3,842.4E-3,1.031,1.135,1.127,1.121
2.300,635.5E-3,841.9E-3,1.030,1.135,1.127,1.121
2.350,635.2E-3,841.5E-3,1.030,1.135,1.127,1.121
2.400,635.0E-3,841.1E-3,1.029,1.135,1.127,1.121
2.450,634.8E-3,840.7E-3,1.029,1.135,1.127,1.121
2.500,634.7E-3,840.3E-3,1.028,1.135,1.127,1.121
2.550,634.6E-3,839.9E-3,1.028,1.135,1.127,1.121
2.600,634.6E-3,839.5E-3,1.027,1.135,1.127,1.121
2.650,634.7E-3,839.1E-3,1.027,1.135,1.127,1.121
2.700,635.2E-3,838.7E-3,1.026,1.135,1.127,1.121
2.750,636.4E-3,838.3E-3,1.026,1.135,1.127,1.121
2.800,639.1E-3,838.0E-3,1.026,1.135,1.127,1.121
2.850,644.4E-3,837.7E-3,1.026,1.135,1.127,1.122
2.900,653.8E-3,837.7E-3,1.026,1.135,1.127,1.122
2.950,668.2E-3,838.0E-3,1.027,1.136,1.127,1.123
3.000,687.5E-3,838.9E-3,1.029,1.136,1.128,1.124
3.050,711.4E-3,840.9E-3,1.034,1.136,1.129,1.127
3.100,739.1E-3,845.2E-3,1.047,1.137,1.131,1.133
3.150,769.9E-3,854.4E-3,1.099,1.138,1.135,1.158
3.200,803.4E-3,880.8E-3,1.399,1.141,1.148,1.298
