Vbias30b:p (temp=-4.00e+01) X,Vbias30b:p (temp=-4.00e+01) Y,Vbias30b:p (temp=-3.50e+01) X,Vbias30b:p (temp=-3.50e+01) Y,Vbias30b:p (temp=-3.00e+01) X,Vbias30b:p (temp=-3.00e+01) Y,Vbias30b:p (temp=-2.50e+01) X,Vbias30b:p (temp=-2.50e+01) Y,Vbias30b:p (temp=-2.00e+01) X,Vbias30b:p (temp=-2.00e+01) Y,Vbias30b:p (temp=-1.50e+01) X,Vbias30b:p (temp=-1.50e+01) Y,Vbias30b:p (temp=-1.00e+01) X,Vbias30b:p (temp=-1.00e+01) Y,Vbias30b:p (temp=-5.00e+00) X,Vbias30b:p (temp=-5.00e+00) Y,Vbias30b:p (temp=0.00e+00) X,Vbias30b:p (temp=0.00e+00) Y,Vbias30b:p (temp=5.00e+00) X,Vbias30b:p (temp=5.00e+00) Y,Vbias30b:p (temp=1.00e+01) X,Vbias30b:p (temp=1.00e+01) Y,Vbias30b:p (temp=1.50e+01) X,Vbias30b:p (temp=1.50e+01) Y,Vbias30b:p (temp=2.00e+01) X,Vbias30b:p (temp=2.00e+01) Y,Vbias30b:p (temp=2.50e+01) X,Vbias30b:p (temp=2.50e+01) Y,Vbias30b:p (temp=3.00e+01) X,Vbias30b:p (temp=3.00e+01) Y,Vbias30b:p (temp=3.50e+01) X,Vbias30b:p (temp=3.50e+01) Y,Vbias30b:p (temp=4.00e+01) X,Vbias30b:p (temp=4.00e+01) Y,Vbias30b:p (temp=4.50e+01) X,Vbias30b:p (temp=4.50e+01) Y,Vbias30b:p (temp=5.00e+01) X,Vbias30b:p (temp=5.00e+01) Y,Vbias30b:p (temp=5.50e+01) X,Vbias30b:p (temp=5.50e+01) Y,Vbias30b:p (temp=6.00e+01) X,Vbias30b:p (temp=6.00e+01) Y,Vbias30b:p (temp=6.50e+01) X,Vbias30b:p (temp=6.50e+01) Y,Vbias30b:p (temp=7.00e+01) X,Vbias30b:p (temp=7.00e+01) Y,Vbias30b:p (temp=7.50e+01) X,Vbias30b:p (temp=7.50e+01) Y,Vbias30b:p (temp=8.00e+01) X,Vbias30b:p (temp=8.00e+01) Y,Vbias30b:p (temp=8.50e+01) X,Vbias30b:p (temp=8.50e+01) Y
0.9,-1.13374664450814e-05,0.9,-1.131802837479389e-05,0.9,-1.129039686957153e-05,0.9,-1.125590447223424e-05,0.9,-1.121565508191965e-05,0.9,-1.117400778898633e-05,0.9,-1.112396713787958e-05,0.9,-1.107075485033984e-05,0.9,-1.10149593017374e-05,0.9,-1.095707562860872e-05,0.9,-1.089752450738972e-05,0.9,-1.083666808423147e-05,0.9,-1.077482245291555e-05,0.9,-1.071226667867496e-05,0.9,-1.064924889477038e-05,0.9,-1.058599027712837e-05,0.9,-1.052268771170885e-05,0.9,-1.045951578578176e-05,0.9,-1.039662856868453e-05,0.9,-1.033416123531869e-05,0.9,-1.027223174329392e-05,0.9,-1.021094247091782e-05,0.9,-1.015038177659397e-05,0.9,-1.009062546134086e-05,0.9,-1.003173811561315e-05,0.9,-9.973774344589847e-06
0.9500000000000001,-1.199128085600508e-05,0.9500000000000001,-1.197193570509856e-05,0.9500000000000001,-1.194386104613532e-05,0.9500000000000001,-1.190846015121317e-05,0.9500000000000001,-1.186689779944724e-05,0.9500000000000001,-1.182015473537516e-05,0.9500000000000001,-1.176906843581964e-05,0.9500000000000001,-1.171435802118137e-05,0.9500000000000001,-1.165664727849781e-05,0.9500000000000001,-1.159647980129162e-05,0.9500000000000001,-1.153433118434219e-05,0.9500000000000001,-1.147061867907086e-05,0.9500000000000001,-1.140570899470619e-05,0.9500000000000001,-1.133992471887182e-05,0.9500000000000001,-1.127354968941816e-05,0.9500000000000001,-1.120683355321017e-05,0.9500000000000001,-1.113999568180504e-05,0.9500000000000001,-1.107322856848746e-05,0.9500000000000001,-1.100670079939217e-05,0.9500000000000001,-1.094055966907793e-05,0.9500000000000001,-1.087493349490421e-05,0.9500000000000001,-1.080993367304969e-05,0.9500000000000001,-1.074565651055913e-05,0.9500000000000001,-1.068218486151638e-05,0.9500000000000001,-1.061958959071364e-05,0.9500000000000001,-1.055793088453776e-05
1,-1.263416437046324e-05,1,-1.261498688358668e-05,1,-1.258656078941956e-05,1,-1.25503575369196e-05,1,-1.250759900499161e-05,1,-1.245931505168865e-05,1,-1.240638417085452e-05,1,-1.234956288640747e-05,1,-1.228950749722574e-05,1,-1.222679053505918e-05,1,-1.216191350250709e-05,1,-1.209531694665474e-05,1,-1.202738858886869e-05,1,-1.195847000905238e-05,1,-1.18888622335573e-05,1,-1.181883047476048e-05,1,-1.174860820098769e-05,1,-1.167840066748216e-05,1,-1.160838800558934e-05,1,-1.153872794368636e-05,1,-1.146955821650974e-05,1,-1.140099870738363e-05,1,-1.133315335896341e-05,1,-1.126611188153392e-05,1,-1.119995128295028e-05,1,-1.113473724052507e-05
1.05,-1.326679205304888e-05,1.05,-1.324783785587684e-05,1.05,-1.321913249687175e-05,1.05,-1.318221322514708e-05,1.05,-1.313835694857667e-05,1.05,-1.308864034980148e-05,1.05,-1.303398235865626e-05,1.05,-1.297517484922503e-05,1.05,-1.291290533449272e-05,1.05,-1.284777412711075e-05,1.05,-1.278030760676978e-05,1.05,-1.271096870003069e-05,1.05,-1.264016532806607e-05,1.05,-1.256825734505868e-05,1.05,-1.249556233361654e-05,1.05,-1.242236051734653e-05,1.05,-1.234889897785941e-05,1.05,-1.227539531302246e-05,1.05,-1.22020408380075e-05,1.05,-1.212900340580066e-05,1.05,-1.20564299061082e-05,1.05,-1.198444848881956e-05,1.05,-1.191317054887266e-05,1.05,-1.184269250248696e-05,1.05,-1.17730973795613e-05,1.05,-1.17044562530962e-05
1.1,-1.388976619746907e-05,1.1,-1.387107575361712e-05,1.1,-1.384214763825914e-05,1.1,-1.380458267619276e-05,1.1,-1.375971086444989e-05,1.1,-1.370865399634624e-05,1.1,-1.365236991067513e-05,1.1,-1.359168446529955e-05,1.1,-1.352731516213034e-05,1.1,-1.345988899619258e-05,1.1,-1.338995624057822e-05,1.1,-1.331800132242687e-05,1.1,-1.324445157972419e-05,1.1,-1.316968444574825e-05,1.1,-1.309403344449486e-05,1.1,-1.301779326924382e-05,1.1,-1.294122414008002e-05,1.1,-1.286455558327465e-05,1.1,-1.278798973843817e-05,1.1,-1.271170427324584e-05,1.1,-1.263585496693912e-05,1.1,-1.256057801041887e-05,1.1,-1.248599206099476e-05,1.1,-1.241220008266688e-05,1.1,-1.233929099743149e-05,1.1,-1.22673411690123e-05
1.15,-1.450362837383271e-05,1.15,-1.448523002720468e-05,1.15,-1.445612302515738e-05,1.15,-1.441796967565146e-05,1.15,-1.437215124012855e-05,1.15,-1.431983300922719e-05,1.15,-1.426201029164526e-05,1.15,-1.419954163893897e-05,1.15,-1.41331733827155e-05,1.15,-1.406355815832142e-05,1.15,-1.399126919644103e-05,1.15,-1.391681158601133e-05,1.15,-1.384063133197904e-05,1.15,-1.376312277844747e-05,1.15,-1.368463479732351e-05,1.15,-1.360547602653193e-05,1.15,-1.352591936209282e-05,1.15,-1.344620585303661e-05,1.15,-1.336654810941146e-05,1.15,-1.328713330631647e-05,1.15,-1.320812584743017e-05,1.15,-1.312966973749371e-05,1.15,-1.305189070303097e-05,1.15,-1.297489809307827e-05,1.15,-1.289878658609953e-05,1.15,-1.282363772501438e-05
1.2,-1.510886767280145e-05,1.2,-1.509078005208693e-05,1.2,-1.506152779318175e-05,1.2,-1.502283270998645e-05,1.2,-1.497612560518192e-05,1.2,-1.492261374316119e-05,1.2,-1.486332854273973e-05,1.2,-1.479916002878386e-05,1.2,-1.473088226429262e-05,1.2,-1.465917253573758e-05,1.2,-1.458462614104012e-05,1.2,-1.450776803085584e-05,1.2,-1.44290621598135e-05,1.2,-1.434891914162557e-05,1.2,-1.426770262474418e-05,1.2,-1.418573468442485e-05,1.2,-1.410330044391889e-05,1.2,-1.402065207979839e-05,1.2,-1.393801232600692e-05,1.2,-1.38555775626935e-05,1.2,-1.37735205555556e-05,1.2,-1.36919928968015e-05,1.2,-1.361112718821348e-05,1.2,-1.353103899898291e-05,1.2,-1.3451828625163e-05,1.2,-1.33735826731809e-05
1.25,-1.570592763683332e-05,1.25,-1.568816157042129e-05,1.25,-1.565878936299784e-05,1.25,-1.56195904587341e-05,1.25,-1.557204356868041e-05,1.25,-1.551739648798861e-05,1.25,-1.545671545762841e-05,1.25,-1.539092081917643e-05,1.25,-1.532081332504208e-05,1.25,-1.524709397301693e-05,1.25,-1.517037928087814e-05,1.25,-1.509121329797906e-05,1.25,-1.501007724299791e-05,1.25,-1.492739738476362e-05,1.25,-1.484355159918954e-05,1.25,-1.475887490984932e-05,1.25,-1.467366423327303e-05,1.25,-1.45881824899721e-05,1.25,-1.450266220010076e-05,1.25,-1.441730865292979e-05,1.25,-1.43323027181143e-05,1.25,-1.424780335150793e-05,1.25,-1.416394983720393e-05,1.25,-1.408086379936325e-05,1.25,-1.399865101133905e-05,1.25,-1.391740302504167e-05
1.3,-1.629521209860752e-05,1.3,-1.6277772149889e-05,1.3,-1.624829852526741e-05,1.3,-1.620862651367311e-05,1.3,-1.616028118247841e-05,1.3,-1.610454948731446e-05,1.3,-1.604253126870738e-05,1.3,-1.597517608688416e-05,1.3,-1.59033103938256e-05,1.3,-1.582765800498018e-05,1.3,-1.574885585112913e-05,1.3,-1.566746635261915e-05,1.3,-1.558398733704904e-05,1.3,-1.549886013996862e-05,1.3,-1.541247633775681e-05,1.3,-1.532518343175921e-05,1.3,-1.523728971305445e-05,1.3,-1.514906847481844e-05,1.3,-1.506076169549492e-05,1.3,-1.497258328505724e-05,1.3,-1.48847219645924e-05,1.3,-1.479734383359591e-05,1.3,-1.471059466786013e-05,1.3,-1.462460198239201e-05,1.3,-1.453947688752928e-05,1.3,-1.445531576169729e-05
1.35,-1.687709011428503e-05,1.35,-1.685997581988161e-05,1.35,-1.683041378338957e-05,1.35,-1.679029343363741e-05,1.35,-1.674118471509249e-05,1.35,-1.668441243957375e-05,1.35,-1.662110888431094e-05,1.35,-1.655225178401798e-05,1.35,-1.647869234876897e-05,1.35,-1.640117636112656e-05,1.35,-1.632036039620412e-05,1.35,-1.62368245511886e-05,1.35,-1.615108263672148e-05,1.35,-1.606359049196073e-05,1.35,-1.597475288840528e-05,1.35,-1.588492935297679e-05,1.35,-1.579443914794187e-05,1.35,-1.570356558056264e-05,1.35,-1.561255976996898e-05,1.35,-1.552164396662417e-05,1.35,-1.543101449686774e-05,1.35,-1.534084438855502e-05,1.35,-1.525128572186734e-05,1.35,-1.516247174060774e-05,1.35,-1.507451875280285e-05,1.35,-1.49875278445387e-05
