temp (C),Vref (Vbat=9.00e-01) (V),Vref (Vbat=1.60e+00) (V)
-40.00,899.5E-3,1.596
-35.00,899.4E-3,1.596
-30.00,899.3E-3,1.596
-25.00,899.2E-3,1.596
-20.00,899.1E-3,1.595
-15.00,899.0E-3,1.595
-10.00,898.9E-3,1.595
-5.000,898.8E-3,1.594
0.000,898.6E-3,1.594
5.000,898.5E-3,1.593
10.00,898.3E-3,1.593
15.00,898.2E-3,1.593
20.00,898.0E-3,1.592
25.00,897.8E-3,1.592
30.00,897.6E-3,1.591
35.00,897.4E-3,1.591
40.00,897.2E-3,1.590
45.00,897.0E-3,1.590
50.00,896.7E-3,1.589
55.00,896.5E-3,1.589
60.00,896.2E-3,1.588
65.00,895.9E-3,1.587
70.00,895.7E-3,1.587
75.00,895.4E-3,1.586
80.00,895.0E-3,1.586
85.00,894.7E-3,1.585
